timestamp,snapshot interval,threshold,diff value
22.09.2025 15:50:58,1,250000,24794030
22.09.2025 15:51:01,1,250000,37465242
22.09.2025 15:51:04,1,250000,35190717
22.09.2025 15:51:07,1,250000,31711013
22.09.2025 15:51:10,1,250000,29686858
22.09.2025 15:51:13,1,250000,32200539
22.09.2025 15:51:16,1,250000,30299442
22.09.2025 15:51:19,1,250000,33167045
22.09.2025 15:51:22,1,250000,30225344
22.09.2025 15:51:26,1,250000,33843237
22.09.2025 15:51:29,1,250000,35544871
22.09.2025 15:51:32,1,250000,34879216
22.09.2025 15:51:35,1,250000,29951434
22.09.2025 15:51:38,1,250000,28652560
22.09.2025 15:51:41,1,250000,32070881
22.09.2025 15:51:44,1,250000,34840368
22.09.2025 15:51:47,1,250000,35668807
22.09.2025 15:51:50,1,250000,27527527
22.09.2025 15:51:53,1,250000,29514951
22.09.2025 15:51:56,1,250000,29491634
22.09.2025 15:51:59,1,250000,37049756
22.09.2025 15:52:02,1,250000,33353767
22.09.2025 15:52:05,1,250000,26834837
22.09.2025 15:52:08,1,250000,25495594
22.09.2025 15:52:11,1,250000,22876873
22.09.2025 15:52:14,1,250000,23513135
22.09.2025 15:52:17,1,250000,20239669
22.09.2025 15:52:20,1,250000,18831126
22.09.2025 15:52:24,1,250000,21269774
22.09.2025 15:52:27,1,250000,20979879
22.09.2025 15:52:30,1,250000,666
